cve_id,asset,cvss_score,epss_score,in_kev,risk_description
CVE-2024-30051,Windows Server 2022,7.8,0.50844,True,CVE CVE-2024-30051 affects Windows Server 2022. EPSS score 0.5084 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-30051,Windows 10 Pro,7.8,0.50844,True,CVE CVE-2024-30051 affects Windows 10 Pro. EPSS score 0.5084 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-33053,Windows Server 2022,8.8,0.50282,True,CVE CVE-2025-33053 affects Windows Server 2022. EPSS score 0.5028 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-33053,Windows 10 Pro,8.8,0.50282,True,CVE CVE-2025-33053 affects Windows 10 Pro. EPSS score 0.5028 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-43572,Windows Server 2022,7.8,0.48941,True,CVE CVE-2024-43572 affects Windows Server 2022. EPSS score 0.4894 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-43572,Windows 10 Pro,7.8,0.48941,True,CVE CVE-2024-43572 affects Windows 10 Pro. EPSS score 0.4894 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-22224,VMware vSphere,9.3,0.47304,True,CVE CVE-2025-22224 affects VMware vSphere. EPSS score 0.4730 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-2783,Google Chrome,8.3,0.4686,True,CVE CVE-2025-2783 affects Google Chrome. EPSS score 0.4686 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-26633,Windows Server 2022,7.0,0.45325,True,CVE CVE-2025-26633 affects Windows Server 2022. EPSS score 0.4532 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-26633,Windows 10 Pro,7.0,0.45325,True,CVE CVE-2025-26633 affects Windows 10 Pro. EPSS score 0.4532 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-33073,Windows Server 2022,8.8,0.45283,True,CVE CVE-2025-33073 affects Windows Server 2022. EPSS score 0.4528 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-33073,Windows 10 Pro,8.8,0.45283,True,CVE CVE-2025-33073 affects Windows 10 Pro. EPSS score 0.4528 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38189,Microsoft 365 Apps for Business,8.8,0.43662,True,CVE CVE-2024-38189 affects Microsoft 365 Apps for Business. EPSS score 0.4366 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-26169,Windows Server 2022,7.8,0.34581,True,CVE CVE-2024-26169 affects Windows Server 2022. EPSS score 0.3458 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-26169,Windows 10 Pro,7.8,0.34581,True,CVE CVE-2024-26169 affects Windows 10 Pro. EPSS score 0.3458 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-21513,Windows Server 2022,8.8,0.31033,True,CVE CVE-2026-21513 affects Windows Server 2022. EPSS score 0.3103 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-21513,Windows 10 Pro,8.8,0.31033,True,CVE CVE-2026-21513 affects Windows 10 Pro. EPSS score 0.3103 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38178,Windows Server 2022,7.5,0.30231,True,CVE CVE-2024-38178 affects Windows Server 2022. EPSS score 0.3023 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38178,Windows 10 Pro,7.5,0.30231,True,CVE CVE-2024-38178 affects Windows 10 Pro. EPSS score 0.3023 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38813,VMware vSphere,7.5,0.29526,True,CVE CVE-2024-38813 affects VMware vSphere. EPSS score 0.2953 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-7965,Google Chrome,8.8,0.23757,True,CVE CVE-2024-7965 affects Google Chrome. EPSS score 0.2376 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-30040,Windows Server 2022,8.8,0.23487,True,CVE CVE-2024-30040 affects Windows Server 2022. EPSS score 0.2349 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
